title,line,structure,longitude,latitude,id
Rohini West,Red Line,Elevated,28.714980,77.11538,150 
Rithala,Red Line,Elevated,28.720879,77.10702,151 
Dabri Mor,Magenta Line,Underground,28.6156417,77.084644,152
Dashrath Puri,Magenta Line,Underground,28.601559,77.082003,153 
Palam,Magenta Line,Underground,28.5915,77.081,154 
Sadar Bazaar Cantonment,Magenta Line,Elevated,28.577082,77.110119,155 
Terminal 1-IGI Airport,Magenta Line,Underground,28.5653,77.12238,156 
Shankar Vihar,Magenta Line,Elevated,28.560649,77.13979,157 
Vasant Vihar,Magenta Line,Underground,28.557829,77.161152,158 
Munirka,Magenta Line,Underground,28.5578421,77.173513,159 
RK Puram,Magenta Line,Underground,28.5502447,77.183453,160 
IIT Delhi,Magenta Line,Underground,28.5470166,77.192325,161 
Panchsheel Park,Magenta Line,Underground,28.5423663,77.220115,162 
Chirag Delhi,Magenta Line,Underground,28.541183,77.23122,163 
Greater Kailash,Magenta Line,Underground,28.5416669,77.237680,164 
Nehru Enclave,Magenta Line,Underground,28.5457201,77.250352,165 
Kalkaji Mandir,Violet Line,Elevated,28.54921,77.25904,166
Kalkaji Mandir,Magenta Line,Underground,28.54921,77.25904,166
Okhla NSIC,Magenta Line,Elevated,28.554931,77.26319,167 
Sukhdev Vihar,Magenta Line,Elevated,28.559758,77.27470,168 
Jamia Millia Islamia,Magenta Line,Elevated,28.561031,77.28445,169 
Okhla Vihar,Magenta Line,Elevated,28.561183,77.29189,170 
Jasola Vihar Shaheen Bagh,Magenta Line,Elevated,28.5460715,77.29663,171 
Kalindi Kunj,Magenta Line,Elevated,28.543089,77.32156,172 
Okhla Bird Sanctuary,Magenta Line,Elevated,28.552824,77.32156,173 
Lal Qila,Violet Line,Underground,28.656682,77.23661,174 
Jama Masjid,Violet Line,Underground,28.650157,77.23757,175 
Delhi Gate,Violet Line,Underground,28.639731,77.24013,176 
ITO,Violet Line,Underground,28.628395,77.24114,177 
Janpath,Violet Line,Underground,28.6232809,77.214477,178 
Khan Market,Violet Line,Underground,28.602460,77.22788,179 
JLN Stadium,Violet Line,Underground,28.590381,77.23304,180
Jangpura,Violet Line,Underground,28.583287,77.23960,181 
Moolchand,Violet Line,Elevated,28.564000,77.23409,182 
Kailash Colony,Violet Line,Elevated,28.555312,77.24199,183 
Nehru Place,Violet Line,Elevated,28.551411,77.25176,184 
Govind Puri,Violet Line,Elevated,28.544606,77.26428,185
Harkesh Nagar,Violet Line,Elevated,28.5428944,77.274738,186
Jasola Apollo,Violet Line,Elevated,28.538284,77.283255,187 
Sarita Vihar,Violet Line,Elevated,28.5291048,77.287643,188 
Mohan Estate,Violet Line,Elevated,28.5196268,77.293645,189 
Tughlakabad,Violet Line,Elevated,28.5025526,77.298933,190
Badarpur,Violet Line,Elevated,28.493241,77.30249,191
Sarai,Violet Line,Elevated,28.478064,77.30485,192 
NHPC Chowk,Violet Line,Elevated,28.457660000,77.30742200,193 
Mewla Maharajpur,Violet Line,Elevated,28.448495000,77.30813000,194 
Sector 28,Violet Line,Elevated,28.438325000,77.30909600,195 
Badkhal Mor,Violet Line,Elevated,28.422753,77.31035,196 
Old Faridabad,Violet Line,Elevated,28.41083,77.3113,197
Neelam Chowk Ajronda,Violet Line,Elevated,28.3978,77.312,198 
Bata Chowk,Violet Line,Elevated,28.386052028,77.31344100,199 
Escorts Mujesar,Violet Line,Elevated,28.370081000,77.31495400,200 
Sant Surdas,Violet Line,Elevated,28.3546852,77.316162,201
Raja Nahar Singh,Violet Line,Elevated,28.3394733,77.316052,202 
Ashok Park Main,Green Line,Elevated,28.671603,77.15501,203 
Punjabi Bagh,Green Line,Elevated,28.672936,77.14597,204 
Shivaji Park,Green Line,Elevated,28.674944,77.13034,205 
Madipur,Green Line,Elevated,28.676361,77.11956,206 
Paschim Vihar East,Green Line,Elevated,28.677294,77.11227,207 
Paschim Vihar West,Green Line,Elevated,28.678589,77.10210,208 
Peera Garhi,Green Line,Elevated,28.679703,77.0925,209 
Udyog Nagar,Green Line,Elevated,28.680994,77.08077,210 
Maharaja Surajmal Stadium,Green Line,Elevated,28.681792,77.07395,211 
Nangloi,Green Line,Elevated,28.682356,77.06467,212 
Nangloi Railway Station,Green Line,Elevated,28.682106,77.05608,213 
Rajdhani Park,Green Line,Elevated,28.6822,77.04384,214 
Mundka,Green Line,Elevated,28.682442,77.03021,215 
Mundka Industrial Area,Green Line,Elevated,28.683525,77.01715,216 
Ghevra,Green Line,Elevated,28.685245,76.99616,217 
Tikri Kalan,Green Line,Elevated,28.686902,76.97739,218 
Tikri Border,Green Line,Elevated,28.687978,76.96416,219 
Pandit Shree Ram Sharma,Green Line,Elevated,28.689279,76.95102,220 
Bahadurgarh City,Green Line,Elevated,28.690777,76.93527,221 
Brigadier Hoshiyar Singh,Green Line,Elevated,28.697357,76.91938,222
Satguru Ram Singh Marg,Green Line Branch,Elevated,28.661920,77.15745,223
Shivaji Stadium,Orange Line,Underground,28.628788,77.21140,224 
Dhaula Kuan,Orange Line,Elevated,28.591853,77.16169,225
Delhi Aerocity,Orange Line,Underground,28.5491,77.1208,226
Nangli,Grey Line,Elevated,28.617264,77.01051,228 
Najafgarh,Grey Line,Underground,28.612555,76.98629,229
